entity	יֵשׁוּת
ridicule	שִׁטָּה
ridicule	לָעַג
ridicule	הִסְתַּלְבֵּט
ridicule	הִתֵּל
roast	לִגְלֵג
roast	עָשָׂה-מִמֶּנּוּ-צְחוֹק
roast	שִׁטָּה
roast	לָעַג
roast	הִסְתַּלְבֵּט
roast	הִתֵּל
guy	לִגְלֵג
guy	עָשָׂה-מִמֶּנּוּ-צְחוֹק
guy	שִׁטָּה
guy	לָעַג
guy	הִסְתַּלְבֵּט
guy	הִתֵּל
blackguard	לִגְלֵג
blackguard	עָשָׂה-מִמֶּנּוּ-צְחוֹק
blackguard	שִׁטָּה
blackguard	לָעַג
blackguard	הִסְתַּלְבֵּט
blackguard	הִתֵּל
laugh at	לִגְלֵג
laugh at	עָשָׂה-מִמֶּנּוּ-צְחוֹק
laugh at	שִׁטָּה
laugh at	לָעַג
laugh at	הִסְתַּלְבֵּט
laugh at	הִתֵּל
jest at	לִגְלֵג
jest at	עָשָׂה-מִמֶּנּוּ-צְחוֹק
jest at	שִׁטָּה
jest at	לָעַג
jest at	הִסְתַּלְבֵּט
jest at	הִתֵּל
rib	לִגְלֵג
rib	עָשָׂה-מִמֶּנּוּ-צְחוֹק
rib	שִׁטָּה
rib	לָעַג
rib	הִסְתַּלְבֵּט
rib	הִתֵּל
make fun	לִגְלֵג
make fun	עָשָׂה-מִמֶּנּוּ-צְחוֹק
make fun	שִׁטָּה
make fun	לָעַג
make fun	הִסְתַּלְבֵּט
make fun	הִתֵּל
poke fun	לִגְלֵג
poke fun	עָשָׂה-מִמֶּנּוּ-צְחוֹק
poke fun	שִׁטָּה
poke fun	לָעַג
poke fun	הִסְתַּלְבֵּט
poke fun	הִתֵּל
deceive	רִמָּה
deceive	מָכַר-לוֹ-לוֹקְשִׁים
deceive	הוֹנָה
deceive	מָכַר
betray	רִמָּה
betray	מָכַר-לוֹ-לוֹקְשִׁים
betray	הוֹנָה
betray	מָכַר
lead astray	רִמָּה
lead astray	מָכַר-לוֹ-לוֹקְשִׁים
lead astray	הוֹנָה
lead astray	מָכַר
perversion	סְטִיָּה
perversion	סְטִיָּה-מִינִית
sexual perversion	סְטִיָּה
sexual perversion	סְטִיָּה-מִינִית
gull	סִדֵּר
gull	עָבַד
dupe	סִדֵּר
dupe	עָבַד
slang	סִדֵּר
slang	עָבַד
befool	סִדֵּר
befool	עָבַד
cod	סִדֵּר
cod	עָבַד
fool	סִדֵּר
fool	עָבַד
put on	סִדֵּר
put on	עָבַד
take in	סִדֵּר
take in	עָבַד
put one over	סִדֵּר
put one over	עָבַד
put one across	סִדֵּר
put one across	עָבַד
doze	!נִמְנוּם
drowse	!נִמְנוּם
reaction	תְּגוּבָה
response	תְּגוּבָה
unemployed	מֻבְטָל
discharged	מְפֻטָּר
dismissed	מְפֻטָּר
fired	מְפֻטָּר
laid-off	מְפֻטָּר
pink-slipped	מְפֻטָּר
beguiled	מְשֻׁעְבָּד
captivated	מְשֻׁעְבָּד
charmed	מְשֻׁעְבָּד
delighted	מְשֻׁעְבָּד
enthralled	מְשֻׁעְבָּד
entranced	מְשֻׁעְבָּד
fascinated	שָׁבוּי-בְּקִסְמוֹ
fascinated	מְהֻפְּנָט
hypnotized	שָׁבוּי-בְּקִסְמוֹ
hypnotized	מְהֻפְּנָט
hypnotised	שָׁבוּי-בְּקִסְמוֹ
hypnotised	מְהֻפְּנָט
mesmerized	שָׁבוּי-בְּקִסְמוֹ
mesmerized	מְהֻפְּנָט
mesmerised	שָׁבוּי-בְּקִסְמוֹ
mesmerised	מְהֻפְּנָט
spellbound	שָׁבוּי-בְּקִסְמוֹ
spellbound	מְהֻפְּנָט
spell-bound	שָׁבוּי-בְּקִסְמוֹ
spell-bound	מְהֻפְּנָט
transfixed	שָׁבוּי-בְּקִסְמוֹ
transfixed	מְהֻפְּנָט
heartening	!מְלַבֵּב
inspiriting	!מְלַבֵּב
frustrating	מְתַסְכֵּל
defy	GAP!
dare	GAP!
crying	בֶּכִי
weeping	בֶּכִי
tears	בֶּכִי
mortgaged	מְמֻשְׁכָּן
calculation	חִשּׁוּב
computation	חִשּׁוּב
computing	חִשּׁוּב
contest	!הִתְמוֹדֵד
contend	!הִתְמוֹדֵד
repugn	!הִתְמוֹדֵד
caution	הִתְרָה
admonish	הִתְרָה
monish	הִתְרָה
subtraction	חִסּוּר
minus	חִסּוּר
summation	חִבּוּר
addition	חִבּוּר
plus	חִבּוּר
advise	מָסַר
notify	מָסַר
give notice	מָסַר
send word	מָסַר
apprise	מָסַר
apprize	מָסַר
familiarize	הִתְוַדֵּעַ
familiarise	הִתְוַדֵּעַ
acquaint	הִתְוַדֵּעַ
adjudication	פְּסִיקָה
evaluation	!הַעֲרָכָה
rating	!הַעֲרָכָה
propose	הִצִּיעַ
suggest	הִצִּיעַ
advise	הִצִּיעַ
peek	הֲצָצָה
peep	הֲצָצָה
gaze	GAP!
regard	GAP!
observation	הִתְבּוֹנְנוּת
observation	תַּצְפִּית
observance	הִתְבּוֹנְנוּת
observance	תַּצְפִּית
watching	הִתְבּוֹנְנוּת
watching	תַּצְפִּית
eulogize	!הִסְפִּיד
eulogise	!הִסְפִּיד
hyperbolic	מֻגְזָם
hyperbolic	מֻפְרָז
inflated	מֻגְזָם
inflated	מֻפְרָז
exaggerated	!מֻגְזָם
magnified	!מֻגְזָם
enlarged	!מֻגְזָם
view	סְקִירָה
sight	סְקִירָה
boast	הִשְׁוִיץ
boast	הִתְרַבְרֵב
boast	הִשְׁתַּחְצֵן
tout	הִשְׁוִיץ
tout	הִתְרַבְרֵב
tout	הִשְׁתַּחְצֵן
swash	הִשְׁוִיץ
swash	הִתְרַבְרֵב
swash	הִשְׁתַּחְצֵן
shoot a line	הִשְׁוִיץ
shoot a line	הִתְרַבְרֵב
shoot a line	הִשְׁתַּחְצֵן
brag	הִשְׁוִיץ
brag	הִתְרַבְרֵב
brag	הִשְׁתַּחְצֵן
gas	הִשְׁוִיץ
gas	הִתְרַבְרֵב
gas	הִשְׁתַּחְצֵן
blow	הִשְׁוִיץ
blow	הִתְרַבְרֵב
blow	הִשְׁתַּחְצֵן
bluster	הִשְׁוִיץ
bluster	הִתְרַבְרֵב
bluster	הִשְׁתַּחְצֵן
vaunt	הִשְׁוִיץ
vaunt	הִתְרַבְרֵב
vaunt	הִשְׁתַּחְצֵן
gasconade	הִשְׁוִיץ
gasconade	הִתְרַבְרֵב
gasconade	הִשְׁתַּחְצֵן
education	!הוֹרָאָה
instruction	!הוֹרָאָה
teaching	!הוֹרָאָה
pedagogy	!הוֹרָאָה
didactics	!הוֹרָאָה
educational activity	!הוֹרָאָה
energetic	GAP!
gumptious	GAP!
industrious	GAP!
up-and-coming	GAP!
enthusiastic	נִלְהָב
equal	שָׁוֶה
guarantee	הִבְטִיחַ
ensure	הִבְטִיחַ
insure	הִבְטִיחַ
assure	הִבְטִיחַ
secure	הִבְטִיחַ
lecture	!הַרְצָאָה
lecturing	!הַרְצָאָה
training	הַכְשָׁרָה
preparation	הַכְשָׁרָה
grooming	הַכְשָׁרָה
exercise	הִתְאַמְּנוּת
exercise	תִּרְגּוּל
exercise	אִמּוּן
practice	הִתְאַמְּנוּת
practice	תִּרְגּוּל
practice	אִמּוּן
drill	הִתְאַמְּנוּת
drill	תִּרְגּוּל
drill	אִמּוּן
practice session	הִתְאַמְּנוּת
practice session	תִּרְגּוּל
practice session	אִמּוּן
recitation	הִתְאַמְּנוּת
recitation	תִּרְגּוּל
recitation	אִמּוּן
rehearsal	חֲזָרָה
dry run	חֲזָרָה
dramatization	הַמְחָזָה
dramatization	דְּרָמָטִיזַצְיָה
dramatisation	הַמְחָזָה
dramatisation	דְּרָמָטִיזַצְיָה
welcome	קִדֵּם
welcome	הִקְבִּיל-אֶת-פָּנָיו
welcome	קִבֵּל-אֶת-פָּנָיו
welcome	קִדֵּם-אֶת-פָּנָיו
receive	קִדֵּם
receive	הִקְבִּיל-אֶת-פָּנָיו
receive	קִבֵּל-אֶת-פָּנָיו
receive	קִדֵּם-אֶת-פָּנָיו
introduce	הִתְוַדֵּעַ
present	הִתְוַדֵּעַ
must	חוֹבָה
photography	צִלּוּם
picture taking	צִלּוּם
contemptible	נִבְזֶה
extenuate	הִפְחִית
extenuate	הֵקֵל
palliate	הִפְחִית
palliate	הֵקֵל
mitigate	הִפְחִית
mitigate	הֵקֵל
convict	הִרְשִׁיעַ
sentence	!דָּן
condemn	!דָּן
doom	!דָּן
filming	צִלּוּם
filming	הַסְרָטָה
cinematography	צִלּוּם
cinematography	הַסְרָטָה
motion-picture photography	צִלּוּם
motion-picture photography	הַסְרָטָה
spinning	טְוִיָּה
weaving	אֲרִיגָה
knitting	סְרִיגָה
construction	בִּנְיָן
construction	בְּנִיָּה
building	בִּנְיָן
building	בְּנִיָּה
fabrication	הַרְכָּבָה
assembly	הַרְכָּבָה
dismantling	פֵּרוּק
dismantlement	פֵּרוּק
disassembly	פֵּרוּק
shout	צָעַק
shout	הֵרִים-אֶת-קוֹלוֹ
yell	צָרַח
scream	צָרַח
shout out	צָעַק
cry	צָעַק
call	צָעַק
yell	צָעַק
scream	צָעַק
holler	צָעַק
hollo	צָעַק
squall	צָעַק
production	יִצּוּר
deciduous	נָשִׁיר
whisper	לָאַט
whisper	לָחַשׁ
beekeeping	כַּוְרָנוּת
apiculture	כַּוְרָנוּת
round	עָגֹל
plowing	חָרִישׁ
plowing	חֲרִישָׁה
ploughing	חָרִישׁ
ploughing	חֲרִישָׁה
exciting	!מְרַגֵּשׁ
landscaping	עִצּוּב-נוֹף
landscape gardening	עִצּוּב-נוֹף
electric	מְחַשְׁמֵל
galvanic	מְחַשְׁמֵל
galvanizing	מְחַשְׁמֵל
galvanising	מְחַשְׁמֵל
boring	קְדִיחָה
boring	קִדּוּחַ
drilling	קְדִיחָה
drilling	קִדּוּחַ
oil production	קְדִיחָה
oil production	קִדּוּחַ
industry	יִצּוּר
industry	תַּעֲשִׂיָּה
manufacture	יִצּוּר
manufacture	תַּעֲשִׂיָּה
industrialization	תִּעוּשׂ
industrialisation	תִּעוּשׂ
industrial enterprise	תִּעוּשׂ
devising	!עֲשִׂיָּה
fashioning	!עֲשִׂיָּה
making	!עֲשִׂיָּה
fabrication	יִצּוּר
manufacturing	יִצּוּר
formation	!עִצּוּב
shaping	!עִצּוּב
wonder	הִתְפַּלֵּא
marvel	הִתְפַּלֵּא
leftover	נוֹתָר
left over	נוֹתָר
left	נוֹתָר
odd	נוֹתָר
remaining	נוֹתָר
unexpended	נוֹתָר
extinct	נִכְחָד
nonextant	נִכְחָד
writing	חִבּוּר
authorship	חִבּוּר
authorship	כְּתִיבָה
composition	חִבּוּר
composition	כְּתִיבָה
penning	חִבּוּר
penning	כְּתִיבָה
twist	סוֹבֵב
twist around	סוֹבֵב
pervert	סוֹבֵב
convolute	סוֹבֵב
sophisticate	סוֹבֵב
voice	הִבִּיעַ
unwrap	חָשַׂף
unwrap	גִּלָּה
disclose	חָשַׂף
disclose	גִּלָּה
let on	חָשַׂף
let on	גִּלָּה
bring out	חָשַׂף
bring out	גִּלָּה
reveal	חָשַׂף
reveal	גִּלָּה
discover	חָשַׂף
discover	גִּלָּה
expose	חָשַׂף
expose	גִּלָּה
divulge	חָשַׂף
divulge	גִּלָּה
break	חָשַׂף
break	גִּלָּה
give away	חָשַׂף
give away	גִּלָּה
let out	חָשַׂף
let out	גִּלָּה
intimate	בָּקִיא
intimate	בָּקִי
knowledgeable	בָּקִיא
knowledgeable	בָּקִי
versed	בָּקִיא
versed	בָּקִי
leak out	!דָּלַף
sculpture	!פִּסּוּל
sculpture	!פֶּסֶל
carving	!פִּסּוּל
carving	!פֶּסֶל
engraving	חֲקִיקָה
etching	חֲקִיקָה
explain	!הִסְבִּיר
explicate	!הִסְבִּיר
arrangement	עִבּוּד
arranging	עִבּוּד
transcription	עִבּוּד
clarify	!הִסְבִּיר
clear up	!הִסְבִּיר
elucidate	!הִסְבִּיר
invention	הַמְצָאָה
explicit	מְפֹרָשׁ
expressed	מְפֹרָשׁ
declared	מֻכְרָז
stated	מֻכְרָז
framing	!מִסְגּוּר
talk	דִּבֵּר
speak	דִּבֵּר
utter	דִּבֵּר
mouth	דִּבֵּר
verbalize	דִּבֵּר
verbalise	דִּבֵּר
search	חִפּוּשׂ
search	סְרִיקָה
hunt	חִפּוּשׂ
hunt	סְרִיקָה
hunting	חִפּוּשׂ
hunting	סְרִיקָה
enumerate	מָנָה
recite	מָנָה
itemize	מָנָה
itemise	מָנָה
looking	!הִסְתַּכְּלוּת
looking for	!הִסְתַּכְּלוּת
manhunt	מָצוֹד
use	שִׁמּוּשׁ
usage	שִׁמּוּשׁ
utilization	שִׁמּוּשׁ
utilisation	שִׁמּוּשׁ
employment	שִׁמּוּשׁ
exercise	שִׁמּוּשׁ
count	סָפַר
count	מָנָה
number	סָפַר
number	מָנָה
enumerate	סָפַר
numerate	סָפַר
numerate	מָנָה
recycling	מִחְזוּר
total	סִכֵּם
total	חִבֵּר
tot	סִכֵּם
tot	חִבֵּר
tot up	סִכֵּם
tot up	חִבֵּר
sum	סִכֵּם
sum	חִבֵּר
sum up	סִכֵּם
sum up	חִבֵּר
summate	סִכֵּם
summate	חִבֵּר
tote up	סִכֵּם
tote up	חִבֵּר
add	סִכֵּם
add together	סִכֵּם
tally	סִכֵּם
tally	חִבֵּר
add up	סִכֵּם
add up	חִבֵּר
technology	טֶכְנוֹלוֹגְיָה
engineering	טֶכְנוֹלוֹגְיָה
consider	הִתְחַשֵּׁב
count	הִתְחַשֵּׁב
weigh	הִתְחַשֵּׁב
commercialization	מִסְחוּר
commercialisation	מִסְחוּר
voice	הִשְׁמִיעַ
sound	הִשְׁמִיעַ
vocalize	הִשְׁמִיעַ
vocalise	הִשְׁמִיעַ
exterior	!חִיצוֹנִי
tell	סִפֵּר
narrate	סִפֵּר
recount	סִפֵּר
recite	סִפֵּר
battle	קְרָב
conflict	קְרָב
fight	קְרָב
engagement	קְרָב
blockade	כִּתּוּר
encirclement	כִּתּוּר
publicize	פִּרְסֵם
publicise	פִּרְסֵם
air	פִּרְסֵם
bare	פִּרְסֵם
conflict	מִלְחָמָה
conflict	מַאֲבָק
struggle	מִלְחָמָה
struggle	קְרָב
battle	מִלְחָמָה
firm	נֶאֱמָן
firm	לוֹיָאלִי
loyal	נֶאֱמָן
loyal	לוֹיָאלִי
truehearted	נֶאֱמָן
truehearted	לוֹיָאלִי
fast	נֶאֱמָן
fast	לוֹיָאלִי
repulsion	הֲדִיפָה
standoff	הֲדִיפָה
rebellion	מֶרֶד
rebellion	הִתְקוֹמְמוּת
rebellion	הִתְמָרְדוּת
rebellion	מֶרִי
rebellion	מְרִידָה
insurrection	מֶרֶד
insurrection	הִתְקוֹמְמוּת
insurrection	הִתְמָרְדוּת
insurrection	מֶרִי
insurrection	מְרִידָה
revolt	מֶרֶד
revolt	הִתְקוֹמְמוּת
revolt	הִתְמָרְדוּת
revolt	מֶרִי
revolt	מְרִידָה
rising	מֶרֶד
rising	הִתְקוֹמְמוּת
rising	הִתְמָרְדוּת
rising	מֶרִי
rising	מְרִידָה
uprising	מֶרֶד
uprising	הִתְקוֹמְמוּת
uprising	הִתְמָרְדוּת
uprising	מֶרִי
uprising	מְרִידָה
talk	!דִּבֵּר
speak	!דִּבֵּר
revolution	מַהְפֵּכָה
insurgent	חַתְרָנִי
seditious	חַתְרָנִי
subversive	חַתְרָנִי
speak	מְדַבֵּר
talk	מְדַבֵּר
combat	!קְרָב
armed combat	!קְרָב
violence	אַלִּימוּת
force	אַלִּימוּת
announce	הִכְרִיז
declare	הִכְרִיז
long-familiar	מֻכָּר
long-familiar	נוֹדָע
long-familiar	יָדוּעַ
well-known	מֻכָּר
well-known	נוֹדָע
well-known	יָדוּעַ
looting	!שֹׁד
robbery	!שֹׁד
publish	פִּרְסֵם
bring out	פִּרְסֵם
put out	פִּרְסֵם
issue	פִּרְסֵם
release	פִּרְסֵם
curious	מוּזָר
funny	מוּזָר
odd	מוּזָר
peculiar	מוּזָר
queer	מוּזָר
rum	מוּזָר
rummy	מוּזָר
singular	מוּזָר
go around	סָבַב
spread	סָבַב
circulate	סָבַב
common	!רָגִיל
usual	!רָגִיל
up-to-date	אַחֲרוֹן
cutting-edge	אַחֲרוֹן
with-it	אַחֲרוֹן
storm	הִסְתַּעֲרוּת
advertise	פִּרְסֵם
advertize	פִּרְסֵם
invasion	!פְּלִישָׁה
advertise	קִדֵּם
advertize	קִדֵּם
promote	קִדֵּם
push	קִדֵּם
infiltration	!הִסְתַּנְּנוּת
foray	פְּשִׁיטָה
raid	פְּשִׁיטָה
maraud	פְּשִׁיטָה
fleet	!מָהִיר
swift	!מָהִיר
bombing	הַפְצָצָה
bombardment	הַפְצָצָה
immediate	מִיָּדִי
prompt	מִיָּדִי
quick	מִיָּדִי
straightaway	מִיָּדִי
instantaneous	!מִיָּדִי
speedy	מָהִיר
rapid	!מָהִיר
rapid	מָהִיר
bumble	גִּמְגֵּם
stutter	גִּמְגֵּם
stammer	גִּמְגֵּם
falter	גִּמְגֵּם
choosy	בַּרְרָן
choosey	בַּרְרָן
scouting	סִיּוּר
exploratory survey	סִיּוּר
reconnoitering	סִיּוּר
reconnoitring	סִיּוּר
abdominous	כְּרַסְתָּן
paunchy	כְּרַסְתָּן
potbellied	כְּרַסְתָּן
fire	אֵשׁ
firing	אֵשׁ
dumpy	גּוּץ
podgy	גּוּץ
pudgy	גּוּץ
tubby	גּוּץ
roly-poly	גּוּץ
thin	רָזֶה
lean	רָזֶה
scraggy	כָּחוּשׁ
scraggy	גָּרוּם
boney	כָּחוּשׁ
boney	גָּרוּם
scrawny	כָּחוּשׁ
scrawny	גָּרוּם
skinny	כָּחוּשׁ
skinny	גָּרוּם
underweight	כָּחוּשׁ
underweight	גָּרוּם
weedy	כָּחוּשׁ
weedy	גָּרוּם
write	כָּתַב
measurement	מְדִידָה
measuring	מְדִידָה
measure	מְדִידָה
mensuration	מְדִידָה
featherlike	נוֹצִי
feathery	נוֹצִי
bathymetry	!שְׁרַבְרָבוּת
bathymetry	!צַנֶּרֶת
plumbing	!שְׁרַבְרָבוּת
plumbing	!צַנֶּרֶת
calibration	כִּיּוּל
standardization	כִּיּוּל
standardisation	כִּיּוּל
plucked	מָרוּט
tuning	כִּוְנוּן
adjustment	!הַרְשָׁמָה
registration	!הַרְשָׁמָה
readjustment	!הַרְשָׁמָה
barren	GAP!
type	הִדְפִּיס
typewrite	הִדְפִּיס
fattened	!מְפֻטָּם
fattened	!מְדֻשָּׁן
correspond	הִתְכַּתֵּב
summarize	סִכֵּם
summarise	סִכֵּם
resume	סִכֵּם
organization	סִדּוּר
organisation	סִדּוּר
state	הִגִּיד
state	אָמַר
listing	עֲרִיכַת-רְשִׁימָה
itemization	עֲרִיכַת-רְשִׁימָה
itemisation	עֲרִיכַת-רְשִׁימָה
last	אַחֲרוֹן
stress	הִבְלִיט
stress	!הִדְגִּישׁ
emphasize	הִבְלִיט
emphasize	!הִדְגִּישׁ
emphasise	הִבְלִיט
emphasise	!הִדְגִּישׁ
punctuate	הִבְלִיט
punctuate	!הִדְגִּישׁ
accent	הִבְלִיט
accent	!הִדְגִּישׁ
accentuate	הִבְלִיט
accentuate	!הִדְגִּישׁ
senior	GAP!
fourth-year	GAP!
collection	אִסּוּף
collecting	אִסּוּף
assembling	אִסּוּף
aggregation	אִסּוּף
intermediate	!בֵּינַיִם
junior	GAP!
third-year	GAP!
next-to-last	GAP!
suspension	תְּלִיָּה
dangling	תְּלִיָּה
hanging	תְּלִיָּה
continuance	הַמְשָׁכָה
continuation	הַמְשָׁכָה
prolongation	הַאֲרָכָה
protraction	הַאֲרָכָה
perpetuation	הַאֲרָכָה
lengthening	הַאֲרָכָה
disabled	מֻגְבָּל
disabled	!נָכֶה
handicapped	מֻגְבָּל
handicapped	!נָכֶה
copying	הַעְתָּקָה
duplication	שִׁכְפּוּל
gemination	שִׁכְפּוּל
note	צִיֵּן
observe	צִיֵּן
mention	צִיֵּן
remark	צִיֵּן
dipped	!טָבוּל
lordotic	!טָבוּל
swayback	!טָבוּל
swaybacked	!טָבוּל
suitable	הוֹלֵם
suitable	מַתְאִים
suited	הוֹלֵם
suited	מַתְאִים
perseverance	הַתְמָדָה
persistence	הַתְמָדָה
perseveration	הַתְמָדָה
arrange	סִדֵּר
fix up	סִדֵּר
generalize	הִכְלִיל
generalise	הִכְלִיל
extrapolate	הִכְלִיל
infer	הִכְלִיל
procedure	!הֲלִיךְ
bring up	הֶעֱלָה
opine	חִוָּה-דֵּעָה
speak up	חִוָּה-דֵּעָה
speak out	חִוָּה-דֵּעָה
animadvert	חִוָּה-דֵּעָה
sound off	חִוָּה-דֵּעָה
baptize	הִטְבִּיל
baptise	הִטְבִּיל
christen	הִטְבִּיל
flexible	גָּמִישׁ
pliable	גָּמִישׁ
pliant	גָּמִישׁ
curly	מְסֻלְסָל
curly	מְתֻלְתָּל
curly	מְקֻרְזָל
church service	GAP!
church	GAP!
compromise	הִתְפַּשֵּׁר
compromise	!הִתְפַּשֵּׁר
baptism	טְבִילָה
baptism	הַטְבָּלָה
external	חוּץ
international	חוּץ
outside	חוּץ
christening	GAP!
chew the fat	פִּטְפֵּט
shoot the breeze	פִּטְפֵּט
chat	פִּטְפֵּט
confabulate	פִּטְפֵּט
confab	פִּטְפֵּט
chitchat	פִּטְפֵּט
chit-chat	פִּטְפֵּט
chatter	פִּטְפֵּט
chaffer	פִּטְפֵּט
natter	פִּטְפֵּט
gossip	פִּטְפֵּט
jaw	פִּטְפֵּט
claver	פִּטְפֵּט
visit	פִּטְפֵּט
sanctification	קִדּוּשׁ
dish the dirt	רִכֵל
gossip	רִכֵל
ceremonial	טִקְסִי
ceremonial	רִשְׁמִי
grunt	!נָחַר
snort	!נָחַר
literary	סִפְרוּתִי
howl	יִלֵּל
ululate	יִלֵּל
wail	יִלֵּל
roar	יִלֵּל
yawl	יִלֵּל
yaup	יִלֵּל
resuscitation	הַחְיָאָה
downtrodden	!נִרְדָּף
regrettable	!מְצַעֵר
too bad	!מְצַעֵר
fragrant	רֵיחָנִי
planting	!שְׁתִילָה
planting	!נְטִיעָה
cluck	!קִרְקֵר
click	!קִרְקֵר
clack	!קִרְקֵר
round	סֶבֶב
visiting	פְּקִידָה
visiting	בִּקּוּר
provision	אַסְפָּקָה
supply	אַסְפָּקָה
supplying	אַסְפָּקָה
feeding	הֲזָנָה
alimentation	הֲזָנָה
neigh	צָהַל
nicker	צָהַל
whicker	צָהַל
whinny	צָהַל
mew	!יִלֵּל
claim	!תְּבִיעָה
respite	פּוּגָה
respite	אֶתְנַחְתָּא
respite	הֲפוּגָה
respite	הַפְסָקָה
respite	פֶּסֶק-זְמַן
recess	פּוּגָה
recess	אֶתְנַחְתָּא
recess	הֲפוּגָה
recess	הַפְסָקָה
recess	פֶּסֶק-זְמַן
break	פּוּגָה
break	אֶתְנַחְתָּא
break	הֲפוּגָה
break	הַפְסָקָה
break	פֶּסֶק-זְמַן
time out	פּוּגָה
time out	אֶתְנַחְתָּא
time out	הֲפוּגָה
time out	הַפְסָקָה
time out	פֶּסֶק-זְמַן
hesitation	גִּמְגּוּם
waver	גִּמְגּוּם
falter	גִּמְגּוּם
faltering	גִּמְגּוּם
intermission	הַפְסָקָה
unhampered	חָפְשִׁי
captive	אָסוּר
captive	כָּלוּא
confined	אָסוּר
confined	כָּלוּא
imprisoned	אָסוּר
imprisoned	כָּלוּא
jailed	אָסוּר
jailed	כָּלוּא
leisure	!פְּנַאי
free time	!פְּנַאי
spare time	!פְּנַאי
delay	עִכּוּב
holdup	עִכּוּב
slowdown	פִּגּוּר
lag	פִּגּוּר
retardation	פִּגּוּר
fresh	טָרִי
request	!בִּקֵּשׁ
fast	תַּעֲנִית
fast	צוֹם
fasting	תַּעֲנִית
fasting	צוֹם
moldy	עָבֵשׁ
moldy	מְעֻפָּשׁ
mouldy	עָבֵשׁ
mouldy	מְעֻפָּשׁ
musty	עָבֵשׁ
musty	מְעֻפָּשׁ
compete	הִתְחָרָה
compete	הִתְמוֹדֵד
vie	הִתְחָרָה
vie	הִתְמוֹדֵד
contend	הִתְחָרָה
contend	הִתְמוֹדֵד
pickled	מֻחְמָץ
pickled	כָּבוּשׁ
indulgence	הִתְפַּנְּקוּת
indulging	הִתְפַּנְּקוּת
pampering	הִתְפַּנְּקוּת
humoring	הִתְפַּנְּקוּת
smoked	מְעֻשָּׁן
smoke-cured	מְעֻשָּׁן
smoke-dried	מְעֻשָּׁן
siege	מָצוֹר
besieging	מָצוֹר
beleaguering	מָצוֹר
military blockade	מָצוֹר
prevention	מְנִיעָה
prevention	!מְנִיעָה
bar	מְנִיעָה
bar	!מְנִיעָה
disqualification	פְּסִילָה
suppression	!כְּתִישָׁה
crushing	!כְּתִישָׁה
quelling	!כְּתִישָׁה
stifling	!כְּתִישָׁה
liquescent	!נָמֵס
melting	!נָמֵס
distribution	!חֲלֻקָּה
rationing	קִצּוּב
irregular	לֹא-קָבוּעַ
temporary	לֹא-קָבוּעַ
donation	תְּרוּמָה
subscription	!מִנּוּי
commerce	!מִסְחָר
commercialism	!מִסְחָר
mercantilism	!מִסְחָר
lending	!הַלְוָאָה
lending	!הַשְׁאָלָה
loaning	!הַלְוָאָה
loaning	!הַשְׁאָלָה
officiate	GAP!
function	GAP!
furnished	!מְרֹהָט
equipped	!מְרֹהָט
enlist	!הִתְגַּיֵּס
market	שׁוּק
marketplace	שׁוּק
market place	שׁוּק
recruit	!גִּיֵּס
levy	!גִּיֵּס
raise	!גִּיֵּס
financing	!מִמּוּן
funding	!מִמּוּן
investing	הַשְׁקָעָה
investment	הַשְׁקָעָה
beat	!גָּבַר
beat out	!גָּבַר
crush	!גָּבַר
shell	!גָּבַר
trounce	!גָּבַר
vanquish	!גָּבַר
publication	!פִּרְסוּם
publishing	!פִּרְסוּם
issue	פִּרְסוּם
issue	הוֹצָאָה-לָאוֹר
publication	פִּרְסוּם
publication	הוֹצָאָה-לָאוֹר
circumstantial	!נְסִבָּתִי
ferry	!מַעְבֹּרֶת
ferrying	!מַעְבֹּרֶת
transaction	טְרַנְסַקְצְיָה
transaction	עִסְקָה
dealing	טְרַנְסַקְצְיָה
dealing	עִסְקָה
dealings	טְרַנְסַקְצְיָה
dealings	עִסְקָה
get the better of	הִתְגַּבֵּר
get the better of	גָּבַר
overcome	הִתְגַּבֵּר
overcome	גָּבַר
defeat	הִתְגַּבֵּר
defeat	גָּבַר
exchange	הַחְלָפָה
exchange	חִלּוּף
overpower	!גִּמֵּר
overmaster	!גִּמֵּר
overwhelm	!גִּמֵּר
importing	יִבּוּא
importing	יְבוּא
importation	יִבּוּא
importation	יְבוּא
exporting	יִצּוּא
exporting	יְצוּא
exportation	יִצּוּא
exportation	יְצוּא
smuggling	הַבְרָחָה
cheeseparing	!קָרוֹב
close	!קָרוֹב
near	!קָרוֹב
penny-pinching	!קָרוֹב
skinny	!קָרוֹב
mean	קַמְצָנִי
mingy	קַמְצָנִי
miserly	קַמְצָנִי
tight	קַמְצָנִי
retail	קִמְעוֹנוּת
retail	קִמְעוֹנָאוּת
wholesale	סִיטוֹנוּת
wholesale	סִיטוֹנָאוּת
big	רְחַב-לֵב
large	רְחַב-לֵב
magnanimous	רְחַב-לֵב
genuine	אֲמִתִּי
echt	אֲמִתִּי
dumping	!הֶצֵּף
vending	רוֹכְלוּת
peddling	רוֹכְלוּת
hawking	רוֹכְלוּת
vendition	רוֹכְלוּת
talented	כִּשְׁרוֹנִי
talented	מֻכְשָׁר
talented	בְּרוּךְ-כִּשָּׁרוֹן
talented	בַּעַל-כִּשָּׁרוֹן
gifted	כִּשְׁרוֹנִי
gifted	מֻכְשָׁר
